date_key,full_date,year,month,quarter,week,day_name,is_weekend
20180522,2018-05-22,2018,5,2,21,Tuesday,false
20161008,2016-10-08,2016,10,4,40,Saturday,true
20170107,2017-01-07,2017,1,1,1,Saturday,true
20171002,2017-10-02,2017,10,4,40,Monday,false
20180225,2018-02-25,2018,2,1,8,Sunday,true
20170514,2017-05-14,2017,5,2,19,Sunday,true
20170701,2017-07-01,2017,7,3,26,Saturday,true
20170328,2017-03-28,2017,3,1,13,Tuesday,false
20180110,2018-01-10,2018,1,1,2,Wednesday,false
20171116,2017-11-16,2017,11,4,46,Thursday,false
20180330,2018-03-30,2018,3,1,13,Friday,false
20180609,2018-06-09,2018,6,2,23,Saturday,true
20171025,2017-10-25,2017,10,4,43,Wednesday,false
20161005,2016-10-05,2016,10,4,40,Wednesday,false
20171106,2017-11-06,2017,11,4,45,Monday,false
20170905,2017-09-05,2017,9,3,36,Tuesday,false
20171017,2017-10-17,2017,10,4,42,Tuesday,false
20170506,2017-05-06,2017,5,2,18,Saturday,true
20180620,2018-06-20,2018,6,2,25,Wednesday,false
20170325,2017-03-25,2017,3,1,12,Saturday,true
20170404,2017-04-04,2017,4,2,14,Tuesday,false
20180420,2018-04-20,2018,4,2,16,Friday,false
20180302,2018-03-02,2018,3,1,9,Friday,false
20170821,2017-08-21,2017,8,3,34,Monday,false
20170303,2017-03-03,2017,3,1,9,Friday,false
20170428,2017-04-28,2017,4,2,17,Friday,false
20170924,2017-09-24,2017,9,3,38,Sunday,true
20170203,2017-02-03,2017,2,1,5,Friday,false
20171021,2017-10-21,2017,10,4,42,Saturday,true
20180707,2018-07-07,2018,7,3,27,Saturday,true
20170405,2017-04-05,2017,4,2,14,Wednesday,false
20170401,2017-04-01,2017,4,2,13,Saturday,true
20171121,2017-11-21,2017,11,4,47,Tuesday,false
20171215,2017-12-15,2017,12,4,50,Friday,false
20180805,2018-08-05,2018,8,3,31,Sunday,true
20180219,2018-02-19,2018,2,1,8,Monday,false
20171122,2017-11-22,2017,11,4,47,Wednesday,false
20170929,2017-09-29,2017,9,3,39,Friday,false
20171202,2017-12-02,2017,12,4,48,Saturday,true
20170430,2017-04-30,2017,4,2,17,Sunday,true
20180118,2018-01-18,2018,1,1,3,Thursday,false
20170314,2017-03-14,2017,3,1,11,Tuesday,false
20180418,2018-04-18,2018,4,2,16,Wednesday,false
20180111,2018-01-11,2018,1,1,2,Thursday,false
20180616,2018-06-16,2018,6,2,24,Saturday,true
20170212,2017-02-12,2017,2,1,6,Sunday,true
20180317,2018-03-17,2018,3,1,11,Saturday,true
20180105,2018-01-05,2018,1,1,1,Friday,false
20171024,2017-10-24,2017,10,4,43,Tuesday,false
20180623,2018-06-23,2018,6,2,25,Saturday,true
20170828,2017-08-28,2017,8,3,35,Monday,false
20180519,2018-05-19,2018,5,2,20,Saturday,true
20180520,2018-05-20,2018,5,2,20,Sunday,true
20171203,2017-12-03,2017,12,4,48,Sunday,true
20180531,2018-05-31,2018,5,2,22,Thursday,false
20170619,2017-06-19,2017,6,2,25,Monday,false
20170122,2017-01-22,2017,1,1,3,Sunday,true
20170507,2017-05-07,2017,5,2,18,Sunday,true
20170723,2017-07-23,2017,7,3,29,Sunday,true
20170811,2017-08-11,2017,8,3,32,Friday,false
20180429,2018-04-29,2018,4,2,17,Sunday,true
20170321,2017-03-21,2017,3,1,12,Tuesday,false
20180813,2018-08-13,2018,8,3,33,Monday,false
20170611,2017-06-11,2017,6,2,23,Sunday,true
20180120,2018-01-20,2018,1,1,3,Saturday,true
20171030,2017-10-30,2017,10,4,44,Monday,false
20170818,2017-08-18,2017,8,3,33,Friday,false
20170812,2017-08-12,2017,8,3,32,Saturday,true
20180322,2018-03-22,2018,3,1,12,Thursday,false
20170221,2017-02-21,2017,2,1,8,Tuesday,false
20170302,2017-03-02,2017,3,1,9,Thursday,false
20171231,2017-12-31,2017,12,4,52,Sunday,true
20170416,2017-04-16,2017,4,2,15,Sunday,true
20180728,2018-07-28,2018,7,3,30,Saturday,true
20171126,2017-11-26,2017,11,4,47,Sunday,true
20171019,2017-10-19,2017,10,4,42,Thursday,false
20180705,2018-07-05,2018,7,3,27,Thursday,false
20170920,2017-09-20,2017,9,3,38,Wednesday,false
20180525,2018-05-25,2018,5,2,21,Friday,false
20170722,2017-07-22,2017,7,3,29,Saturday,true
20170926,2017-09-26,2017,9,3,39,Tuesday,false
20170422,2017-04-22,2017,4,2,16,Saturday,true
20170801,2017-08-01,2017,8,3,31,Tuesday,false
20170605,2017-06-05,2017,6,2,23,Monday,false
20170629,2017-06-29,2017,6,2,26,Thursday,false
20180703,2018-07-03,2018,7,3,27,Tuesday,false
20170617,2017-06-17,2017,6,2,24,Saturday,true
20180314,2018-03-14,2018,3,1,11,Wednesday,false
20170413,2017-04-13,2017,4,2,15,Thursday,false
20171120,2017-11-20,2017,11,4,47,Monday,false
20171223,2017-12-23,2017,12,4,51,Saturday,true
20180506,2018-05-06,2018,5,2,18,Sunday,true
20170211,2017-02-11,2017,2,1,6,Saturday,true
20170206,2017-02-06,2017,2,1,6,Monday,false
20170703,2017-07-03,2017,7,3,27,Monday,false
20170418,2017-04-18,2017,4,2,16,Tuesday,false
20170126,2017-01-26,2017,1,1,4,Thursday,false
20170904,2017-09-04,2017,9,3,36,Monday,false
20170524,2017-05-24,2017,5,2,21,Wednesday,false
20170130,2017-01-30,2017,1,1,5,Monday,false
20180529,2018-05-29,2018,5,2,22,Tuesday,false
20170622,2017-06-22,2017,6,2,25,Thursday,false
20180708,2018-07-08,2018,7,3,27,Sunday,true
20170219,2017-02-19,2017,2,1,7,Sunday,true
20170626,2017-06-26,2017,6,2,26,Monday,false
20170709,2017-07-09,2017,7,3,27,Sunday,true
20180725,2018-07-25,2018,7,3,30,Wednesday,false
20180601,2018-06-01,2018,6,2,22,Friday,false
20180804,2018-08-04,2018,8,3,31,Saturday,true
20171222,2017-12-22,2017,12,4,51,Friday,false
20170509,2017-05-09,2017,5,2,19,Tuesday,false
20180730,2018-07-30,2018,7,3,31,Monday,false
20180509,2018-05-09,2018,5,2,19,Wednesday,false
20170627,2017-06-27,2017,6,2,26,Tuesday,false
20180307,2018-03-07,2018,3,1,10,Wednesday,false
20180722,2018-07-22,2018,7,3,29,Sunday,true
20180718,2018-07-18,2018,7,3,29,Wednesday,false
20171117,2017-11-17,2017,11,4,46,Friday,false
20180417,2018-04-17,2018,4,2,16,Tuesday,false
20180814,2018-08-14,2018,8,3,33,Tuesday,false
20170608,2017-06-08,2017,6,2,23,Thursday,false
20170429,2017-04-29,2017,4,2,17,Saturday,true
20170217,2017-02-17,2017,2,1,7,Friday,false
20171103,2017-11-03,2017,11,4,44,Friday,false
20180503,2018-05-03,2018,5,2,18,Thursday,false
20170207,2017-02-07,2017,2,1,6,Tuesday,false
20170816,2017-08-16,2017,8,3,33,Wednesday,false
20180115,2018-01-15,2018,1,1,3,Monday,false
20170727,2017-07-27,2017,7,3,30,Thursday,false
20180513,2018-05-13,2018,5,2,19,Sunday,true
20180505,2018-05-05,2018,5,2,18,Saturday,true
20180717,2018-07-17,2018,7,3,29,Tuesday,false
20170424,2017-04-24,2017,4,2,17,Monday,false
20171107,2017-11-07,2017,11,4,45,Tuesday,false
20170909,2017-09-09,2017,9,3,36,Saturday,true
20170408,2017-04-08,2017,4,2,14,Saturday,true
20171218,2017-12-18,2017,12,4,51,Monday,false
20171101,2017-11-01,2017,11,4,44,Wednesday,false
20170609,2017-06-09,2017,6,2,23,Friday,false
20170316,2017-03-16,2017,3,1,11,Thursday,false
20171105,2017-11-05,2017,11,4,44,Sunday,true
20171230,2017-12-30,2017,12,4,52,Saturday,true
20180829,2018-08-29,2018,8,3,35,Wednesday,false
20161223,2016-12-23,2016,12,4,51,Friday,false
20171026,2017-10-26,2017,10,4,43,Thursday,false
20170804,2017-08-04,2017,8,3,31,Friday,false
20170518,2017-05-18,2017,5,2,20,Thursday,false
20180517,2018-05-17,2018,5,2,20,Thursday,false
20171130,2017-11-30,2017,11,4,48,Thursday,false
20171115,2017-11-15,2017,11,4,46,Wednesday,false
20180107,2018-01-07,2018,1,1,1,Sunday,true
20180508,2018-05-08,2018,5,2,19,Tuesday,false
20180426,2018-04-26,2018,4,2,17,Thursday,false
20180228,2018-02-28,2018,2,1,9,Wednesday,false
20180713,2018-07-13,2018,7,3,28,Friday,false
20180125,2018-01-25,2018,1,1,4,Thursday,false
20180114,2018-01-14,2018,1,1,2,Sunday,true
20171011,2017-10-11,2017,10,4,41,Wednesday,false
20170223,2017-02-23,2017,2,1,8,Thursday,false
20170414,2017-04-14,2017,4,2,15,Friday,false
20170127,2017-01-27,2017,1,1,4,Friday,false
20171214,2017-12-14,2017,12,4,50,Thursday,false
20170213,2017-02-13,2017,2,1,7,Monday,false
20180303,2018-03-03,2018,3,1,9,Saturday,true
20171022,2017-10-22,2017,10,4,42,Sunday,true
20170307,2017-03-07,2017,3,1,10,Tuesday,false
20171108,2017-11-08,2017,11,4,45,Wednesday,false
20170803,2017-08-03,2017,8,3,31,Thursday,false
20170305,2017-03-05,2017,3,1,9,Sunday,true
20170719,2017-07-19,2017,7,3,29,Wednesday,false
20170505,2017-05-05,2017,5,2,18,Friday,false
20180825,2018-08-25,2018,8,3,34,Saturday,true
20171008,2017-10-08,2017,10,4,40,Sunday,true
20170901,2017-09-01,2017,9,3,35,Friday,false
20180427,2018-04-27,2018,4,2,17,Friday,false
20170808,2017-08-08,2017,8,3,32,Tuesday,false
20170813,2017-08-13,2017,8,3,32,Sunday,true
20170228,2017-02-28,2017,2,1,9,Tuesday,false
20171112,2017-11-12,2017,11,4,45,Sunday,true
20170825,2017-08-25,2017,8,3,34,Friday,false
20170628,2017-06-28,2017,6,2,26,Wednesday,false
20180313,2018-03-13,2018,3,1,11,Tuesday,false
20170209,2017-02-09,2017,2,1,6,Thursday,false
20170215,2017-02-15,2017,2,1,7,Wednesday,false
20170106,2017-01-06,2017,1,1,1,Friday,false
20180416,2018-04-16,2018,4,2,16,Monday,false
20171212,2017-12-12,2017,12,4,50,Tuesday,false
20170731,2017-07-31,2017,7,3,31,Monday,false
20180201,2018-02-01,2018,2,1,5,Thursday,false
20170613,2017-06-13,2017,6,2,24,Tuesday,false
20180215,2018-02-15,2018,2,1,7,Thursday,false
20170420,2017-04-20,2017,4,2,16,Thursday,false
20171208,2017-12-08,2017,12,4,49,Friday,false
20170927,2017-09-27,2017,9,3,39,Wednesday,false
20180608,2018-06-08,2018,6,2,23,Friday,false
20170710,2017-07-10,2017,7,3,28,Monday,false
20180515,2018-05-15,2018,5,2,20,Tuesday,false
20180606,2018-06-06,2018,6,2,23,Wednesday,false
20170208,2017-02-08,2017,2,1,6,Wednesday,false
20180612,2018-06-12,2018,6,2,24,Tuesday,false
20170823,2017-08-23,2017,8,3,34,Wednesday,false
20180821,2018-08-21,2018,8,3,34,Tuesday,false
20180806,2018-08-06,2018,8,3,32,Monday,false
20171119,2017-11-19,2017,11,4,46,Sunday,true
20180304,2018-03-04,2018,3,1,9,Sunday,true
20170908,2017-09-08,2017,9,3,36,Friday,false
20170114,2017-01-14,2017,1,1,2,Saturday,true
20180720,2018-07-20,2018,7,3,29,Friday,false
20170503,2017-05-03,2017,5,2,18,Wednesday,false
20170308,2017-03-08,2017,3,1,10,Wednesday,false
20170620,2017-06-20,2017,6,2,25,Tuesday,false
20170820,2017-08-20,2017,8,3,33,Sunday,true
20171225,2017-12-25,2017,12,4,52,Monday,false
20170814,2017-08-14,2017,8,3,33,Monday,false
20170331,2017-03-31,2017,3,1,13,Friday,false
20170720,2017-07-20,2017,7,3,29,Thursday,false
20170312,2017-03-12,2017,3,1,10,Sunday,true
20170830,2017-08-30,2017,8,3,35,Wednesday,false
20170410,2017-04-10,2017,4,2,15,Monday,false
20161007,2016-10-07,2016,10,4,40,Friday,false
20180407,2018-04-07,2018,4,2,14,Saturday,true
20170129,2017-01-29,2017,1,1,4,Sunday,true
20170117,2017-01-17,2017,1,1,3,Tuesday,false
20170907,2017-09-07,2017,9,3,36,Thursday,false
20170621,2017-06-21,2017,6,2,25,Wednesday,false
20170402,2017-04-02,2017,4,2,13,Sunday,true
20171104,2017-11-04,2017,11,4,44,Saturday,true
20160915,2016-09-15,2016,9,3,37,Thursday,false
20170109,2017-01-09,2017,1,1,2,Monday,false
20180213,2018-02-13,2018,2,1,7,Tuesday,false
20170831,2017-08-31,2017,8,3,35,Thursday,false
20180127,2018-01-27,2018,1,1,4,Saturday,true
20171128,2017-11-28,2017,11,4,48,Tuesday,false
20180214,2018-02-14,2018,2,1,7,Wednesday,false
20170306,2017-03-06,2017,3,1,10,Monday,false
20171004,2017-10-04,2017,10,4,40,Wednesday,false
20171204,2017-12-04,2017,12,4,49,Monday,false
20170717,2017-07-17,2017,7,3,29,Monday,false
20170105,2017-01-05,2017,1,1,1,Thursday,false
20180403,2018-04-03,2018,4,2,14,Tuesday,false
20180116,2018-01-16,2018,1,1,3,Tuesday,false
20180119,2018-01-19,2018,1,1,3,Friday,false
20180527,2018-05-27,2018,5,2,21,Sunday,true
20171012,2017-10-12,2017,10,4,41,Thursday,false
20171009,2017-10-09,2017,10,4,41,Monday,false
20170521,2017-05-21,2017,5,2,20,Sunday,true
20180827,2018-08-27,2018,8,3,35,Monday,false
20180518,2018-05-18,2018,5,2,20,Friday,false
20170415,2017-04-15,2017,4,2,15,Saturday,true
20180128,2018-01-28,2018,1,1,4,Sunday,true
20180408,2018-04-08,2018,4,2,14,Sunday,true
20180405,2018-04-05,2018,4,2,14,Thursday,false
20170512,2017-05-12,2017,5,2,19,Friday,false
20180320,2018-03-20,2018,3,1,12,Tuesday,false
20170527,2017-05-27,2017,5,2,21,Saturday,true
20170827,2017-08-27,2017,8,3,34,Sunday,true
20170218,2017-02-18,2017,2,1,7,Saturday,true
20180719,2018-07-19,2018,7,3,29,Thursday,false
20170630,2017-06-30,2017,6,2,26,Friday,false
20180617,2018-06-17,2018,6,2,24,Sunday,true
20170829,2017-08-29,2017,8,3,35,Tuesday,false
20170311,2017-03-11,2017,3,1,10,Saturday,true
20170528,2017-05-28,2017,5,2,21,Sunday,true
20171229,2017-12-29,2017,12,4,52,Friday,false
20180709,2018-07-09,2018,7,3,28,Monday,false
20170421,2017-04-21,2017,4,2,16,Friday,false
20180203,2018-02-03,2018,2,1,5,Saturday,true
20170810,2017-08-10,2017,8,3,32,Thursday,false
20180326,2018-03-26,2018,3,1,13,Monday,false
20170915,2017-09-15,2017,9,3,37,Friday,false
20180605,2018-06-05,2018,6,2,23,Tuesday,false
20170426,2017-04-26,2017,4,2,17,Wednesday,false
20171221,2017-12-21,2017,12,4,51,Thursday,false
20180202,2018-02-02,2018,2,1,5,Friday,false
20170911,2017-09-11,2017,9,3,37,Monday,false
20180404,2018-04-04,2018,4,2,14,Wednesday,false
20171206,2017-12-06,2017,12,4,49,Wednesday,false
20180205,2018-02-05,2018,2,1,6,Monday,false
20171211,2017-12-11,2017,12,4,50,Monday,false
20180318,2018-03-18,2018,3,1,11,Sunday,true
20171129,2017-11-29,2017,11,4,48,Wednesday,false
20180208,2018-02-08,2018,2,1,6,Thursday,false
20180628,2018-06-28,2018,6,2,26,Thursday,false
20171219,2017-12-19,2017,12,4,51,Tuesday,false
20180129,2018-01-29,2018,1,1,5,Monday,false
20170510,2017-05-10,2017,5,2,19,Wednesday,false
20180308,2018-03-08,2018,3,1,10,Thursday,false
20171006,2017-10-06,2017,10,4,40,Friday,false
20180619,2018-06-19,2018,6,2,25,Tuesday,false
20170125,2017-01-25,2017,1,1,4,Wednesday,false
20180430,2018-04-30,2018,4,2,18,Monday,false
20180101,2018-01-01,2018,1,1,1,Monday,false
20170323,2017-03-23,2017,3,1,12,Thursday,false
20170714,2017-07-14,2017,7,3,28,Friday,false
20170606,2017-06-06,2017,6,2,23,Tuesday,false
20170315,2017-03-15,2017,3,1,11,Wednesday,false
20180610,2018-06-10,2018,6,2,23,Sunday,true
20180226,2018-02-26,2018,2,1,9,Monday,false
20170522,2017-05-22,2017,5,2,21,Monday,false
20180828,2018-08-28,2018,8,3,35,Tuesday,false
20171023,2017-10-23,2017,10,4,43,Monday,false
20170204,2017-02-04,2017,2,1,5,Saturday,true
20171014,2017-10-14,2017,10,4,41,Saturday,true
20170902,2017-09-02,2017,9,3,35,Saturday,true
20170320,2017-03-20,2017,3,1,12,Monday,false
20170807,2017-08-07,2017,8,3,32,Monday,false
20161009,2016-10-09,2016,10,4,40,Sunday,true
